longitude,latitude
120.133048,30.17356
120.2824976,30.2453113
120.2551029,30.1601687
120.3184375,30.2112636
120.3405599,30.2077945
120.3424385,30.1676724
120.3061266,30.3431371
120.2815848,30.218532
120.2814936,30.2093406
120.2874811,30.2317274
120.3111447,30.1827492
120.277331,30.2332406
120.2923529,30.2268787
120.2811316,30.2414757
120.2880927,30.202873
120.2891609,30.2251912
120.316282,30.1788239
120.3209878,30.2066105
120.1112525,30.3777085
120.3100585,30.1817411
120.3519131,30.1734226
120.3298539,30.1908216
120.2868635,30.228171
120.2821736,30.2352767
120.3437853,30.1670012
120.2911382,30.2390395
120.3264857,30.1928999
120.2865777,30.2491984
120.3156182,30.1785971
120.307357,30.2082257
120.3181054,30.167318
120.1949025,30.333835
120.2933571,30.1504025
120.3071564,30.182951
120.2756071,30.2023007
120.2903895,30.2272748
120.2907972,30.2395425
120.301851,30.2492774
120.3016701,30.2244233
120.2636052,30.1231933
120.3369211,30.1589304
120.3182804,30.151518
120.283531,30.2406887
120.3422418,30.1675066
120.2746023,30.2037749
120.2758318,30.2280265
120.2831406,30.2406133
120.2881607,30.242807
120.3161982,30.1788231
120.3304376,30.1901064
120.3302426,30.1922064
120.3154492,30.1795673
120.2736072,30.2341123
120.3421133,30.1967116
120.2968214,30.2371178
120.2882667,30.242533
120.3439297,30.1698916
120.3411174,30.1405603
120.2930802,30.2238181
120.308973,30.1500711
120.3031773,30.1780363
120.3306416,30.1828614
120.3492749,30.1983266
120.2061026,30.3355949
120.1474836,30.2638929
120.3176841,30.2118512
120.3211711,30.1581913
120.3099219,30.1903185
120.2742629,30.2038095
120.295611,30.2115664
120.2846037,30.2338455
120.2934411,30.1503725
120.2933874,30.2336505
120.2837327,30.2409887
120.2995362,30.3374671
120.3188679,30.1801156
120.3283033,30.1784865
120.2871425,30.238625
120.2348813,30.21448
120.2498174,30.1684997
120.2798158,30.241362
120.2904235,30.2387818
120.3306306,30.1910364
120.2741142,30.2283943
120.3186755,30.2159812
120.3061956,30.2103396
